attributes.Good For.latenight,attributes.Parking.lot,business_id,categories,name,attributes.Price Range,review_count,state,full_address,city,stars,latitude,longitude,neighborhoods
FALSE,,_3fswReXCBK1Fidkll5Piw,"['Food', 'Food Trucks', 'Barbeque', 'Restaurants']",Ben's BBQ & Smokehouse,2,21,NV,"The Strip
Las Vegas, NV 89109",Las Vegas,3.5,36.128561,-115.1711298,['The Strip']
FALSE,TRUE,_3Hpnxe1sJ6GOLpSRkgWyQ,"['Pizza', 'Restaurants']",Hungry Howie's Pizza,1,25,AZ,"4625 E Thomas Rd
Phoenix, AZ 85018",Phoenix,3,33.4795444,-111.981639,[]
TRUE,FALSE,_4_Qn9WZVwofeaqjgQG2Zw,"['American (New)', 'Restaurants']",Fahrenheit,3,334,NC,"222 S Caldwell St
Uptown
Charlotte, NC 28202",Charlotte,3.5,35.22258523,-80.84109407,['Uptown']
FALSE,FALSE,_44__hQ4GxGNRzkhLHBw0A,"['Restaurants', 'Italian']",Carbone,4,152,NV,"A R I A Resort And Casino
3730 S Las Vegas Blvd
The Strip
Las Vegas, NV 89109",Las Vegas,4,36.1073485,-115.1765836,['The Strip']
FALSE,FALSE,_45p8kOA__aNycVVe-n-KA,"['American (Traditional)', 'Restaurants']",Planet Dailies,2,575,NV,"3667 Las Vegas Blvd. S.
The Strip
Las Vegas, NV 89109",Las Vegas,3,36.1096948,-115.1701624,['The Strip']
FALSE,TRUE,_4-K6xAYzCEIn_r4B8FB2g,"['Burgers', 'Fast Food', 'Restaurants']",In-N-Out Burger,1,47,NV,"6880 N 5th St
North Las Vegas, NV 89084",North Las Vegas,4,36.28526896,-115.1343861,[]
,,_5FOD8UZxyJVWnnoAXq-GQ,"['Burgers', 'Fast Food', 'Restaurants']",Wendy's,,11,AZ,"2019 N Power Rd
Mesa, AZ 85215",Mesa,1.5,33.45279777,-111.6835678,[]
FALSE,,_5Hp0LNdX6ZLsQRAFFCVYg,"['Pizza', 'Restaurants']",Vocelli Pizza,1,6,PA,"2011 Waverly Ave
Swissvale, PA 15218",Swissvale,3.5,40.4219149,-79.8863458,[]
FALSE,,_5qkBSljHlRo5B9GQLDp3w,"['Fast Food', 'Sandwiches', 'Restaurants']",Subway,,6,AZ,"4102 N 24th St
Phoenix, AZ 85016",Phoenix,3.5,33.4953887,-112.0310353,[]
FALSE,,_5wB2ahFLsGA5L43XSAdSg,"['Burgers', 'Fast Food', 'Restaurants']",McDonald's,1,5,AZ,"801 N Highway 79
Florence, AZ 85232",Florence,2,33.0388643,-111.3784132,[]
FALSE,FALSE,_65BG8jLwJJYihHqPkGH_w,"['Fast Food', 'Sandwiches', 'Restaurants']",Subway,1,17,NV,"6525 S Fort Apache Rd
Spring Valley
Las Vegas, NV 89148",Las Vegas,2.5,36.06961478,-115.2982041,['Spring Valley']
FALSE,FALSE,_6gbnNRPIc-iM_0cBLPX1A,"['Greek', 'Restaurants']",Estiatorio Milos,4,755,NV,"3708 Las Vegas Blvd S
The Strip
Las Vegas, NV 89109",Las Vegas,4,36.109883,-115.173887,['The Strip']
FALSE,FALSE,_-6I6VXjr-NiwIBa_1uI4A,"['Cafes', 'Restaurants']",Bistro Sanguinet,1,5,QC,"308, rue Sainte-Catherine Est
Ville-Marie
montreal, QC H2X 1L7",montreal,2,45.5127967,-73.5610991,['Ville-Marie']
,,_6l_vm7_maYTfO5tpei27A,"['Pubs', 'Bars', 'Nightlife', 'British', 'Restaurants']",Stable Bar,3,11,EDH,"50 Mortonhall Gate
Edinburgh EH16 6TJ",Edinburgh,4.5,55.9033136,-3.1811563,[]
FALSE,TRUE,_6MDHQQ-PeUJ9CP-MoKApA,"['Breakfast & Brunch', 'American (Traditional)', 'Sandwiches', 'Restaurants']",Pancake Cafe,2,36,WI,"724 S Gammon Rd
Madison, WI 53719",Madison,2.5,43.04883798,-89.50367824,[]
FALSE,TRUE,_6mftzpLyxUd6bk520nT_g,"['Bars', 'Mediterranean', 'Wine Bars', 'Nightlife', 'Italian', 'Restaurants']",Grape Vine Cafe,2,27,NV,"7501 W Lake Mead Blvd
Ste 120
Las Vegas, NV 89128",Las Vegas,4.5,36.19459476,-115.2587036,[]
,,_6rAAUCDoeJKiLNwHOaS1g,"['Burgers', 'Fast Food', 'Restaurants']",McDonald's,,7,AZ,"41710 W Maricopa-Casa Grande Hwy
Maricopa, AZ 85138",Maricopa,2.5,33.03707955,-112.0147884,[]
FALSE,TRUE,_6rzEUOYbo7lgtkSKkKS9g,"['Burgers', 'Fast Food', 'Restaurants']",Culver's,1,79,AZ,"16145 W Bell Rd
Surprise, AZ 85374",Surprise,3.5,33.6383013,-112.4066665,[]
FALSE,FALSE,_72Q2LjA3_Tas16Brg8GiA,"['Fish & Chips', 'Restaurants']",Fryers Delight,1,5,EDH,"19 Gracemount Drive
Edinburgh EH16 6RR",Edinburgh,3.5,55.9021298,-3.1555278,[]
FALSE,TRUE,_7EJtWjOjZsBUNRvzw-_Xg,"['Burgers', 'American (Traditional)', 'Sandwiches', 'Restaurants']",Johnny Rockets,2,86,AZ,"9390 W. Hanna Drive Unit B109
Westgate City Center
Glendale, AZ 85305",Glendale,2,33.53853307,-112.2603607,[]
,,_-8F1Ry4hQBjYVOX95T6aA,"['Food', 'Street Vendors', 'Chinese', 'Food Trucks', 'Restaurants']",Dim Sum Montreal,1,6,QC,"Ville-Marie
montreal, QC",montreal,4,45.5086699,-73.5539925,['Ville-Marie']
FALSE,,_8-pQzmTWT3Vsn3QnrnoUA,"['Mexican', 'Restaurants']",Del Taco,1,4,NV,"2450 N Rancho Dr
Las Vegas, NV 89130",Las Vegas,3,36.2036872,-115.1992573,[]
FALSE,FALSE,_8QoZBmm4hzyrPMdAwXhZQ,"['Tapas/Small Plates', 'Bars', 'Nightlife', 'Wine Bars', 'Restaurants']",The Mandrake,2,56,NC,"333 W Trade St
Charlotte, NC 28202",Charlotte,3.5,35.228893,-80.845776,[]
,FALSE,_8tGPxBYb4aq3fuhOePTgw,"['Chinese', 'Restaurants']",Chinoiseries et Dumplings,2,11,QC,"4509 Rue Chabot
Plateau-Mont-Royal
montreal, QC H2H 1Y1",montreal,3,45.5342123,-73.5736908,['Plateau-Mont-Royal']
,FALSE,_8tUKyMRMMt1YSlac04eqg,"['Active Life', 'Boating', 'Amateur Sports Teams', 'Restaurants']",Schiffsrestaurant Vater Rhein,2,3,BW,"Maxau am Rhein 16
76187 Karlsruhe",Karlsruhe,3.5,49.0377,8.31318,[]
FALSE,TRUE,_8Y-XNHmQ76xmxUQIrn0sA,"['Sandwiches', 'Restaurants']",Blimpie,1,15,AZ,"2303 N 44th St
Ste 16
Phoenix, AZ 85008",Phoenix,3.5,33.4736745,-111.9862587,[]
FALSE,FALSE,_9_K2oblGMnTVKPdYfAJHA,"['Delis', 'Pizza', 'Breakfast & Brunch', 'Restaurants']",Beaubien Deli,2,4,QC,"4023 Rue Beaubien E
Rosemont-La Petite-Patrie
montreal, QC H1X 1H7",montreal,4,45.5620562,-73.5803396,['Rosemont-La Petite-Patrie']
,,_91N3Q_MB5Nula56ZWXzSA,"['Burgers', 'Breakfast & Brunch', 'American (Traditional)', 'Restaurants']",Shoney's Restaurants,,18,NC,"8531 N Tryon St
University City
Charlotte, NC 28262",Charlotte,2,35.3052993,-80.7510223,['University City']
FALSE,,_94uLHACC0jMNoDyI9YpaQ,"['Food', 'Coffee & Tea', 'Asian Fusion', 'Restaurants']",Resto Chillax,1,7,QC,"3460A Rue Parc
Plateau-Mont-Royal
montreal, QC H8Z",montreal,4,45.5089994,-73.5726227,['Plateau-Mont-Royal']
FALSE,TRUE,_9h-jH3YOkAU9-2A-dy6YQ,"['Bars', 'Salad', 'Food', 'Beer, Wine & Spirits', 'Nightlife', 'Sports Bars', 'Restaurants']",Old Chicago,2,124,AZ,"1656 S Alma School Rd
Mesa, AZ 85210",Mesa,3.5,33.3847421,-111.8578485,[]
,,_9Kk6zyna1T5CZoaBy_YCg,"['Mexican', 'Restaurants']",Federico's Mexican Food,1,12,AZ,"12027-12075 N Dysart Rd
El Mirage, AZ 85335",El Mirage,2.5,33.59370132,-112.3418499,[]
FALSE,TRUE,_9q_TYfKeegwc32Z0mtpYw,"['Gluten-Free', 'Vegan', 'French', 'Restaurants']",EATT Healthy Food,2,33,NV,"7865 W Sahara Ave
Ste 104 & 105
Westside
Las Vegas, NV 89117",Las Vegas,5,36.14333071,-115.2620287,['Westside']
FALSE,FALSE,_9TAKW96z3RuWLHjKVlqDw,"['Pizza', 'Restaurants']",The Three Coins,1,12,EDH,"19 Home Street
Tollcross
Edinburgh EH3 9JR",Edinburgh,5,55.9432562,-3.2034659,['Tollcross']
FALSE,TRUE,_9wiSQbsRe0fiVeHQkxygQ,"['Mexican', 'Restaurants']",Filibertos Mexican Food,1,27,AZ,"21805 S Ellsworth Rd
Queen Creek, AZ 85142",Queen Creek,3.5,33.2497757,-111.6344769,[]
FALSE,TRUE,_9yrJLQpFa4JWvJ74xuHpw,"['Chinese', 'Restaurants']",Yen Ching,1,32,AZ,"126 S Power Rd
Mesa, AZ 85206",Mesa,3.5,33.4132788,-111.6848381,[]
FALSE,TRUE,_9YyclQi9o9EalWKM8MG0g,"['Mexican', 'Restaurants']",Taco Tijuana,1,138,NV,"2554 E Tropicana Ave
Eastside
Las Vegas, NV 89121",Las Vegas,4,36.10020889,-115.1151449,"['Eastside', 'Southeast']"
FALSE,TRUE,_A4zWsLoLbjozEJYHLDx0Q,"['Food', 'Restaurants', 'Specialty Food', 'Pasta Shops', 'Pizza', 'Italian']",Little Italy Pizza & Restaurant,2,69,AZ,"502 E Pima St
Gila Bend, AZ 85337",Gila Bend,4,32.9485206,-112.7117618,[]
,FALSE,_A9Tahq291sPgIGnmOPDOw,"['Thai', 'Restaurants']",Thaiphon,2,4,QC,"2025 Avenue Union
Ville-Marie
montreal, QC H3A 0A3",montreal,2.5,45.5047547,-73.5712243,['Ville-Marie']
FALSE,TRUE,_agqgl4kkXu_5xKCKP8gcA,"['Bars', 'American (Traditional)', 'Sports Bars', 'Nightlife', 'Chicken Wings', 'Restaurants']",Buffalo Wild Wings,2,126,NV,"150 E Centennial Parkway
Suite 101
North Las Vegas, NV 89084",North Las Vegas,2.5,36.2769842,-115.1380177,[]
FALSE,,_aGVicux2dJm9sqzLSCJtg,"['Fast Food', 'Sandwiches', 'Restaurants']",Subway,1,3,PA,"703 Liberty Ave
Downtown
Pittsburgh, PA 15222",Pittsburgh,3.5,40.4427514,-79.9997098,['Downtown']
FALSE,FALSE,_Aq9R8FRoXq8HwC5qf80Xg,"['Japanese', 'Restaurants']",Koi Restaurant,3,489,NV,"Planet Hollywood Las Vegas Resort & Casino
3667 Las Vegas Blvd S
The Strip
Las Vegas, NV 89109",Las Vegas,3.5,36.1096948,-115.1701624,['The Strip']
FALSE,FALSE,_aqNCt2RzYu8Qkj0z6A9cw,"['Pizza', 'Restaurants']",Palm Pizza,1,24,NV,"3411 E Charleston Blvd
Downtown
Las Vegas, NV 89104",Las Vegas,2.5,36.1584128,-115.1007484,['Downtown']
FALSE,TRUE,_aRnypLaHgZ7E9wZqHilOg,"['Greek', 'Restaurants']",Gyro Time,1,59,NV,"5715 S Eastern Ave
Southeast
Las Vegas, NV 89119",Las Vegas,3.5,36.08550023,-115.1194323,['Southeast']
FALSE,FALSE,_AvHni-xdRHmZ3XfYHwGkg,"['Modern European', 'American (New)', 'Ramen', 'Japanese', 'Restaurants']",Posh Improvisational Cuisine,4,334,AZ,"7167 E Rancho Vista Dr
Ste 111
Scottsdale, AZ 85251",Scottsdale,4,33.506543,-111.92655,[]
FALSE,FALSE,_AzE9doN9QL3Ffwfe9FGKA,"['Barbeque', 'Restaurants']",Annie's Kitchen,1,8,NV,"1212 D St
Las Vegas, NV 89106",Las Vegas,4.5,36.18430301,-115.1470054,[]
FALSE,,_B_ksb_rYxfnHE0kbuezSQ,"['Sandwiches', 'Restaurants']",Charley's Grilled Subs,1,3,AZ,"Fiesta Mall
1445 W Southern Ave
Mesa, AZ 85202",Mesa,3.5,33.3892092,-111.8605725,[]
FALSE,TRUE,_B5RZxl6S3nLVV3j0UoQew,"['Restaurants', 'Italian']",La Verita,3,18,QC,"11680 Boulevard de Salaberry
Dollard-des-Ormeaux
Dollard-des-Ormeaux, QC H9B 2R8",Dollard-des-Ormeaux,5,45.4848356,-73.8044082,['Dollard-des-Ormeaux']
FALSE,,_B70VqLL-VLj3BUbBMLmFA,"['Fast Food', 'Sandwiches', 'Restaurants']",Subway,,4,AZ,"805 W Baseline Rd
Ste 3
Tempe, AZ 85283",Tempe,2.5,33.3772769,-111.9512974,[]
FALSE,FALSE,_bDQqgRS6POAGi9-yHKDgw,"['Seafood', 'Restaurants']",Garde Manger,4,226,QC,"408 Rue Saint-François-Xavier
Ville-Marie
montreal, QC H2Y 2S9",montreal,4,45.5028316,-73.5555304,['Ville-Marie']
FALSE,TRUE,_Bh7HA8P570v2DIsltppZQ,"['Sandwiches', 'Restaurants']",Penn Station East Coast Subs,1,21,NC,"5110 Park Rd
South Park
Charlotte, NC 28209",Charlotte,3.5,35.1611282,-80.8493173,['South Park']
FALSE,TRUE,_BL-KfyZqYruqDvxTY-vUg,"['Thai', 'Restaurants']",Surang's Thai Kitchen,2,188,NV,"5455 S Fort Apache Rd
Ste 105
Spring Valley
Las Vegas, NV 89148",Las Vegas,4,36.089564,-115.2974352,['Spring Valley']
FALSE,TRUE,_b-Q0ZVI30FfgPW_UtbLyw,"['Seafood', 'American (Traditional)', 'Barbeque', 'Restaurants']",North and South Seafood & Smokehouse,2,40,WI,"6604 Mineral Point Rd
Madison, WI 53705",Madison,4,43.0616294,-89.4962001,[]
FALSE,TRUE,_BQ5JOUWDRgBXNylMSVpOw,"['Diners', 'Restaurants']",Louis'grille,1,23,NC,"5062 Hwy 49 S
Ste 102
Harrisburg, NC 28075",Harrisburg,3.5,35.3212518,-80.6596541,[]
FALSE,TRUE,_BrLcaVzE6GqBilwmdQOfg,"['Bars', 'Cocktail Bars', 'Nightlife', 'Lounges', 'American (New)', 'Restaurants']",Elixir - A Local Lounge,2,100,NV,"2920 Green Valley Pkwy
Henderson, NV 89014",Henderson,4,36.0762625,-115.080961,[]
FALSE,TRUE,_BU867oRCLZnDIRmg7S6Wg,"['Bars', 'Restaurants', 'Nightlife', 'Tex-Mex']",Chili's Grill & Bar,2,77,AZ,"513 E Bell Rd
Phoenix, AZ 85022",Phoenix,3,33.6401859,-112.0685999,[]
FALSE,TRUE,_Bz6YWNI5bi0gqQI4GLvqQ,"['Delis', 'Sandwiches', 'Salad', 'Restaurants']",Jason's Deli,1,50,NC,"10610 Centrum Pkwy
Pineville, NC 28134",Pineville,4,35.0884041,-80.8789436,[]
FALSE,,_c6EWrGrbqjDOk99aX3yLQ,"['Fast Food', 'Restaurants']",Jack In the Box,1,7,NV,"4680 S Decatur Blvd
Las Vegas, NV 89103",Las Vegas,3.5,36.10165897,-115.2073942,[]
FALSE,,_c7vrEqEGfWKkhXMNZNGXA,"['Scottish', 'Restaurants']",Aizle,4,17,EDH,"107-109 St Leonard's Street
Newington
Edinburgh EH8 9QY",Edinburgh,5,55.9419569,-3.1791181,['Newington']
FALSE,FALSE,_c98YKUKcD43F7oAPefM8A,"['Chinese', 'Restaurants']",Restaurant Kam DO,1,17,QC,"971 Decarie Boul
Saint-Laurent
Saint-Laurent, QC H4L 3M6",Saint-Laurent,3,45.5140048,-73.6820886,['Saint-Laurent']
,,_CBTn2OXDZFLmDfmZFvnHg,"['Mexican', 'Restaurants']",Qdoba Mexican Eats,,6,NC,"16631 Lancaster Highway
Ste 101
Ballantyne
Charlotte, NC 28277",Charlotte,3.5,35.02313743,-80.84831721,['Ballantyne']
FALSE,,_CcRXoqxDXxhgmvUFCbiQQ,"['Cafes', 'Restaurants']",Café Bedondaine,1,4,QC,"4234, rue Sainte-Catherine E, montreal, QC H1V 1X3
Mercier-Hochelaga-Maisonneuve
montreal, QC H1V 1X3",montreal,4,45.5498089,-73.5346699,['Mercier-Hochelaga-Maisonneuve']
FALSE,FALSE,_CEgkUvPLL-omIutKaWs5Q,"['Thai', 'Restaurants']",Chiang Mai,2,18,BW,"Durlacher Allee 11
76131 Karlsruhe",Karlsruhe,3.5,49.0084,8.42079,[]
FALSE,TRUE,_CG5zJAoNN6gszjhSyUcww,"['Korean', 'Restaurants']",Chodang,2,264,AZ,"501 N Arizona Ave
Chandler, AZ 85225",Chandler,4,33.3118395,-111.8411351,[]
TRUE,TRUE,_CIodPGuvPP2khYkDk1jKw,"['Fast Food', 'Mexican', 'Restaurants']",Taqueria Los Yaquis,1,159,AZ,"727 W Camelback Rd
Phoenix, AZ 85013",Phoenix,4.5,33.50896025,-112.0834144,[]
FALSE,TRUE,_Ck4AAtkBLsDL9Qcbo9h1Q,"['Sandwiches', 'Restaurants']",Port Of Subs,1,20,NV,"5715 S Eastern
Ste102
Southeast
Las Vegas, NV 89119",Las Vegas,4,36.08564777,-115.1194259,['Southeast']
FALSE,TRUE,_cNzmoWpJfIHlsmlMGJuLw,"['Food', 'Bagels', 'Sandwiches', 'Restaurants']",Einstein Bros Bagels,1,54,NV,"1990 Village Center Cir
Ste 2
Summerlin
Las Vegas, NV 89134",Las Vegas,2.5,36.19187938,-115.3051186,['Summerlin']
FALSE,,_CSt3oYGYC3uVaifWK0IIg,"['Fast Food', 'Chicken Wings', 'Salad', 'Restaurants']",Zaxby's,1,3,NC,"8905 Albemarle Rd
Eastland
Charlotte, NC 28227",Charlotte,2.5,35.2113988,-80.6939831,['Eastland']
,FALSE,_cxnSeFM0G5AdvCpJjTb0g,"['Italian', 'Pizza', 'Restaurants']",Pizza Express,2,10,EDH,"32 Queensferry Street
New Town
Edinburgh EH2 4QS",Edinburgh,3.5,55.9509725,-3.2096455,['New Town']
FALSE,FALSE,_cY8xEvsQz0flCYWOzxD7A,"['Korean', 'Sushi Bars', 'Restaurants']",Seoul Chako,2,95,QC,"1824 Rue Sainte-Catherine Ouest
Ville-Marie
montreal, QC H3H 1M1",montreal,3,45.493367,-73.579637,['Ville-Marie']
FALSE,FALSE,_CzopXSIYIp7_oeYNYVwWQ,"['Italian', 'Pizza', 'Chicken Wings', 'Restaurants']",Papa Sam's Chicago Style Pizzeria,1,48,AZ,"4330 W Union Hills Dr
Glendale, AZ 85308",Glendale,3.5,33.6546046,-112.1526954,[]
FALSE,FALSE,_D3KUba-5fHTbucTBAnigw,"['Burgers', 'Fast Food', 'Restaurants']",Wendy's,1,14,AZ,"929 N Arizona Ave
Gilbert, AZ 85233",Gilbert,2.5,33.3664957,-111.841256,[]
FALSE,FALSE,_dgnqH3rz1L_qOGMeihIyA,"['French', 'Restaurants']",Le Bourlingueur,2,80,QC,"363 Rue Saint-francois-xavier
Ville-Marie
montreal, QC H2Y 3P9",montreal,3.5,45.50273,-73.555096,['Ville-Marie']
,,_DjAApQ5qhhHP5H_gzX57A,"['Mexican', 'Restaurants']",Ocarnivores,,4,AZ,"9832 W Northern Ave
Ste 1650
Peoria, AZ 85345",Peoria,1,33.5514914,-112.2701358,[]
FALSE,TRUE,_dOcOVjrFcIKbMWX1VTdBA,"['Mexican', 'Restaurants']",Fiesta Cafe,2,44,IL,"216 S 1st St
Champaign, IL 61820",Champaign,4,40.1147989,-88.2384807,[]
FALSE,FALSE,_dVPzYGXKNg2rIsc40VtyA,"['Fast Food', 'Restaurants']",Jack-In-the Box,1,14,AZ,"8030 E Indian School Rd
Scottsdale, AZ 85251",Scottsdale,3,33.4952631,-111.9079693,[]
,FALSE,_DyUWCkg-rPnJMKtBWdi-w,"['Pizza', 'Restaurants']",Pizza Expreso,1,5,QC,"4632 Wellington Rue
Verdun
Verdun, QC H4G 1W9",Verdun,2.5,45.4580729,-73.5674251,['Verdun']
FALSE,TRUE,_DZfwU9dE9Q5I1-1jiM1vQ,"['Bars', 'Pizza', 'Nightlife', 'Restaurants']",Little Chicago Pizza,2,99,AZ,"1645 N Hayden Rd
Scottsdale, AZ 85257",Scottsdale,4,33.4671841,-111.9086242,[]
FALSE,FALSE,_-EB8tQzBlM_jLkgtRw4Rg,"['Bars', 'Burgers', 'Nightlife', 'Sports Bars', 'Canadian (New)', 'Restaurants']",Jack Astor's Bar & Grill,2,7,ON,"2960 Kingsway Drive
Kitchener, ON N2C 1X1",Kitchener,3,43.42345529,-80.43896689,[]
FALSE,,_EBvw_mU3CowvAeBWI96sA,"['Food', 'Tea Rooms', 'Cafes', 'Restaurants']",Niko's Coffee,,3,PA,"1125 Penn Ave
Strip District
Pittsburgh, PA 15222",Pittsburgh,4.5,40.4455125,-79.9932478,['Strip District']
FALSE,TRUE,_Ec1KaH6DpX-1NNE8fA55Q,"['Vietnamese', 'Chinese', 'Restaurants']",Pho Rancho Asian Cuisine,1,209,NV,"4335 N Rancho Dr
Northwest
Las Vegas, NV 89130",Las Vegas,3.5,36.2377496,-115.2317001,['Northwest']
FALSE,FALSE,_eCrBSIXbGEW62ynS2_0lA,"['Fast Food', 'Chicken Wings', 'Restaurants']",KFC,1,22,AZ,"1843 West Union Hills Dr.
Phoenix, AZ 85027",Phoenix,2,33.6547,-112.1,[]
FALSE,TRUE,_EdSQOkATuCtZ5y5A2m0rw,"['American (New)', 'Restaurants']",Arby's,1,7,AZ,"17031 N Tatum Blvd
Phoenix, AZ 85032",Phoenix,2.5,33.641684,-111.977,[]
FALSE,TRUE,_EUbTaB4OUWoIcC6wc8_8g,"['Pizza', 'Restaurants']",Papa Murphy's,1,13,AZ,"3550 E Southern Ave
Mesa, AZ 85204",Mesa,4,33.3940553,-111.7542776,[]
