Business_Id,Name,Price Range,Review Count,Stars,Cuisine,City
_6l_vm7_maYTfO5tpei27A,Stable Bar,3,11,4.5,British,Edinburgh
_6MDHQQ-PeUJ9CP-MoKApA,Pancake Cafe,2,36,2.5,Breakfast & Brunch,Madison
_6mftzpLyxUd6bk520nT_g,Grape Vine Cafe,2,27,4.5,Mediterranean,LasVegas
_6rAAUCDoeJKiLNwHOaS1g,McDonald's,0,7,2.5,Burgers,Phoenix
_6rzEUOYbo7lgtkSKkKS9g,Culver's,1,79,3.5,Burgers,Phoenix
_72Q2LjA3_Tas16Brg8GiA,Fryers Delight,1,5,3.5,Anonymous,Edinburgh
_7EJtWjOjZsBUNRvzw-_Xg,Johnny Rockets,2,86,2,Burgers,Phoenix
_-8F1Ry4hQBjYVOX95T6aA,Dim Sum Montreal,1,6,4,Chinese,Montreal
_8-pQzmTWT3Vsn3QnrnoUA,Del Taco,1,4,3,Mexican,LasVegas
_8QoZBmm4hzyrPMdAwXhZQ,The Mandrake,2,56,3.5,Anonymous,Charlotte
_8tGPxBYb4aq3fuhOePTgw,Chinoiseries et Dumplings,2,11,3,Chinese,Montreal
_8tUKyMRMMt1YSlac04eqg,Schiffsrestaurant Vater Rhein,2,3,3.5,Anonymous,Karlsruhe
_8Y-XNHmQ76xmxUQIrn0sA,Blimpie,1,15,3.5,Anonymous,Phoenix
_9_K2oblGMnTVKPdYfAJHA,Beaubien Deli,2,4,4,Pizza,Montreal
_91N3Q_MB5Nula56ZWXzSA,Shoney's Restaurants,0,18,2,Burgers,Charlotte
_94uLHACC0jMNoDyI9YpaQ,Resto Chillax,1,7,4,Coffee & Tea,Montreal
_9h-jH3YOkAU9-2A-dy6YQ,Old Chicago,2,124,3.5,Anonymous,Phoenix
_9Kk6zyna1T5CZoaBy_YCg,Federico's Mexican Food,1,12,2.5,Mexican,Phoenix
_9q_TYfKeegwc32Z0mtpYw,EATT Healthy Food,2,33,5,French,LasVegas
_9TAKW96z3RuWLHjKVlqDw,The Three Coins,1,12,5,Pizza,Edinburgh
_9wiSQbsRe0fiVeHQkxygQ,Filibertos Mexican Food,1,27,3.5,Mexican,Phoenix
_9yrJLQpFa4JWvJ74xuHpw,Yen Ching,1,32,3.5,Chinese,Phoenix
_9YyclQi9o9EalWKM8MG0g,Taco Tijuana,1,138,4,Mexican,LasVegas
_A4zWsLoLbjozEJYHLDx0Q,Little Italy Pizza & Restaurant,2,69,4,Pizza,Phoenix
_A9Tahq291sPgIGnmOPDOw,Thaiphon,2,4,2.5,Thai,Montreal
_agqgl4kkXu_5xKCKP8gcA,Buffalo Wild Wings,2,126,2.5,American (Traditional),LasVegas
_aGVicux2dJm9sqzLSCJtg,Subway,1,3,3.5,Fast Food,Pittsburgh
_Aq9R8FRoXq8HwC5qf80Xg,Koi Restaurant,3,489,3.5,Japanese,LasVegas
_aqNCt2RzYu8Qkj0z6A9cw,Palm Pizza,1,24,2.5,Pizza,LasVegas
_aRnypLaHgZ7E9wZqHilOg,Gyro Time,1,59,3.5,Greek,LasVegas
_AvHni-xdRHmZ3XfYHwGkg,Posh Improvisational Cuisine,4,334,4,American (New),Phoenix
_AzE9doN9QL3Ffwfe9FGKA,Annie's Kitchen,1,8,4.5,Barbeque,LasVegas
_B_ksb_rYxfnHE0kbuezSQ,Charley's Grilled Subs,1,3,3.5,Anonymous,Phoenix
_B5RZxl6S3nLVV3j0UoQew,La Verita,3,18,5,Italian,Montreal
_B70VqLL-VLj3BUbBMLmFA,Subway,0,4,2.5,Fast Food,Phoenix
_bDQqgRS6POAGi9-yHKDgw,Garde Manger,4,226,4,Seafood,Montreal
_Bh7HA8P570v2DIsltppZQ,Penn Station East Coast Subs,1,21,3.5,Anonymous,Charlotte
_BL-KfyZqYruqDvxTY-vUg,Surang's Thai Kitchen,2,188,4,Thai,LasVegas
_b-Q0ZVI30FfgPW_UtbLyw,North and South Seafood & Smokehouse,2,40,4,Seafood,Madison
_BQ5JOUWDRgBXNylMSVpOw,Louis'grille,1,23,3.5,Anonymous,Charlotte
_BrLcaVzE6GqBilwmdQOfg,Elixir - A Local Lounge,2,100,4,American (New),LasVegas
_BU867oRCLZnDIRmg7S6Wg,Chili's Grill & Bar,2,77,3,Tex-Mex,Phoenix
_Bz6YWNI5bi0gqQI4GLvqQ,Jason's Deli,1,50,4,Anonymous,Charlotte
_c6EWrGrbqjDOk99aX3yLQ,Jack In the Box,1,7,3.5,Fast Food,LasVegas
_c7vrEqEGfWKkhXMNZNGXA,Aizle,4,17,5,Anonymous,Edinburgh
_c98YKUKcD43F7oAPefM8A,Restaurant Kam DO,1,17,3,Chinese,Montreal
_CBTn2OXDZFLmDfmZFvnHg,Qdoba Mexican Eats,0,6,3.5,Mexican,Charlotte
_CcRXoqxDXxhgmvUFCbiQQ,Café Bedondaine,1,4,4,Cafes,Montreal
_CEgkUvPLL-omIutKaWs5Q,Chiang Mai,2,18,3.5,Thai,Karlsruhe
_CG5zJAoNN6gszjhSyUcww,Chodang,2,264,4,Korean,Phoenix
_CIodPGuvPP2khYkDk1jKw,Taqueria Los Yaquis,1,159,4.5,Fast Food,Phoenix
_Ck4AAtkBLsDL9Qcbo9h1Q,Port Of Subs,1,20,4,Anonymous,LasVegas
_cNzmoWpJfIHlsmlMGJuLw,Einstein Bros Bagels,1,54,2.5,Anonymous,LasVegas
_CSt3oYGYC3uVaifWK0IIg,Zaxby's,1,3,2.5,Fast Food,Charlotte
_cxnSeFM0G5AdvCpJjTb0g,Pizza Express,2,10,3.5,Italian,Edinburgh
_cY8xEvsQz0flCYWOzxD7A,Seoul Chako,2,95,3,Korean,Montreal
_CzopXSIYIp7_oeYNYVwWQ,Papa Sam's Chicago Style Pizzeria,1,48,3.5,Italian,Phoenix
_D3KUba-5fHTbucTBAnigw,Wendy's,1,14,2.5,Burgers,Phoenix
_dgnqH3rz1L_qOGMeihIyA,Le Bourlingueur,2,80,3.5,French,Montreal
_DjAApQ5qhhHP5H_gzX57A,Ocarnivores,0,4,1,Mexican,Phoenix
_dOcOVjrFcIKbMWX1VTdBA,Fiesta Cafe,2,44,4,Mexican,Urbana-Champaign
_dVPzYGXKNg2rIsc40VtyA,Jack-In-the Box,1,14,3,Fast Food,Phoenix
_DyUWCkg-rPnJMKtBWdi-w,Pizza Expreso,1,5,2.5,Pizza,Montreal
_DZfwU9dE9Q5I1-1jiM1vQ,Little Chicago Pizza,2,99,4,Pizza,Phoenix
_-EB8tQzBlM_jLkgtRw4Rg,Jack Astor's Bar & Grill,2,7,3,Burgers,Waterloo
_EBvw_mU3CowvAeBWI96sA,Niko's Coffee,0,3,4.5,Cafes,Pittsburgh
_Ec1KaH6DpX-1NNE8fA55Q,Pho Rancho Asian Cuisine,1,209,3.5,Vietnamese,LasVegas
_eCrBSIXbGEW62ynS2_0lA,KFC,1,22,2,Fast Food,Phoenix
_EdSQOkATuCtZ5y5A2m0rw,Arby's,1,7,2.5,American (New),Phoenix
_EUbTaB4OUWoIcC6wc8_8g,Papa Murphy's,1,13,4,Pizza,Phoenix
_eWCvyOCsuBXIQCOSVZy4Q,Casey's,2,7,2.5,Canadian (New),Montreal
_Ex3OUT0CBJxmn7M_ihzjg,Mafia Mike's Pizza,0,4,2,Pizza,Phoenix
_eymim7Di9WjVOxT4OSnjg,Pizza Studio,1,119,4,Pizza,Phoenix
_F2DNPjsqgkAd50zuX8dYQ,Harold's Corral,2,246,3.5,American (Traditional),Phoenix
_FAKUOcKi8PoztprX95oGw,A Plus VIP Lounge,2,13,3.5,Cafes,Urbana-Champaign
_fcEpudbiTB4o9wLJ-egTA,Grand Café,2,105,3,American (New),LasVegas
_fcrxqrOkoC7R-p0pbPDrg,Qdoba,1,7,4,Mexican,Urbana-Champaign
_fEbyHiAsCMAwd7FzNljWg,Taco Bell,1,15,3.5,Fast Food,Phoenix
_Fi4b5lYGsKhI4iCw7j_BQ,Rote Sonne China Schnellrestaurant,1,3,4,Chinese,Karlsruhe
_FlIJoFcEvYaMfZAs3LbFA,Big Shot Bob's House of Wings,1,11,4,Chicken Wings,Pittsburgh
_fMcFF-O4tUpVC6C23uyUQ,McDonald's,0,4,4,Burgers,Phoenix
_FXql6eVhbM923RdCi94SA,Hula's Modern Tiki,2,887,4,Seafood,Phoenix
_gb5Hxm5S5U86ejVywETMA,Chez Boris,1,95,4,Coffee & Tea,Montreal
_GbMuSSfeZFeN08w2ONJ1g,Quik-It Chicken,1,13,4,Barbeque,Pittsburgh
_GnpdDmPqtrXkUHZ8YtvwA,Ada's Fish Fry,2,139,4.5,Seafood,Phoenix
_gPmBXNTJqI5tGhe7G_BKg,Carl's Jr Restaurants,1,12,3,Fast Food,LasVegas
_GWuXjPNBnO56OaT_daPZQ,Zeffirino,3,327,3.5,Seafood,LasVegas
_GWZRML1R9iHNSSo4i2MPA,Loreto's Mexican Food,1,14,4,Mexican,Phoenix
_gXohynLlr_L-lCfonNjOg,Grand Trunk Saloon,2,5,4,Anonymous,Waterloo
_gXpjRIjb5fv5f5IVGXvsw,Del Taco,1,27,3.5,Fast Food,Phoenix
_GZArxAclA3vjhXWIMmvCA,Feast Buffet,2,70,3.5,Anonymous,LasVegas
_gzo4jScQtavLCHzJo905Q,Midnight Diner,1,391,3.5,Breakfast & Brunch,Charlotte
_HGheM2jzKEZFqkT4kyViQ,Cartel Coffee Lab,1,244,4,Coffee & Tea,Phoenix
_HTE4pOKeJC7kcxiCF9vTA,Noodles Ranch,2,345,4,Vietnamese,Phoenix
_hTnLGWujfiZhIaCwWH8Ng,Bamboo Cafe,2,69,3.5,Chinese,Phoenix
_hu-d-tbmtqd8xF37LynpA,The Brig,2,3,3.5,British,Edinburgh
_Hwdp9pNtJ14MsBujtIa5A,The Bailie,2,14,4.5,Anonymous,Edinburgh
_h-wWBfKI_cRnnOB5Bkgag,Sub Station II,1,30,3,Anonymous,Charlotte
_i1CmdenYAwLKyBpX3oVHg,Subway,1,12,1.5,Fast Food,LasVegas
_iA0u6ZKehTUvPY7Xp4Jbw,Wings Restaurants,1,80,3.5,Chicken Wings,LasVegas
_ibKsVEx2LMobFd52D0NZg,Verona Pizza,1,50,3.5,Italian,LasVegas
_IDjM6FxLd3sudSm8YBA5A,Subway,1,8,3.5,Fast Food,LasVegas
_I-hcsM-TFQkBgSjpk7JLQ,The View Cafe,1,6,4,Cafes,LasVegas
_iMlWyow-HdId-sFburl8w,Cafe Americano,2,95,3.5,American (New),LasVegas
_INaOLXnLK4cvX32CowuKw,Basil & Garlic Bistro,2,174,4.5,Italian,Phoenix
_io-CVnCgHyt0vpTCrP13A,Brother's Pizza,1,63,4,Italian,Phoenix
_IPUEiZFc8vzsXp-BSlpIA,Café Renroc,2,13,4,Breakfast & Brunch,Edinburgh
_j4jCjlnuUnsvq1UnfF1Ag,Pei Wei,1,91,3.5,Asian Fusion,LasVegas
_J9JwsqYf1hKdtsE7A9OnA,Kofflers Wiener Beisel,2,4,4,Fast Food,Karlsruhe
_jbeTDw6XSuvLaR1V_z8jw,Copper Plate An American Grill,2,20,3,American (New),Phoenix
_JCjTIKSZxSO5PuHE0rXBg,Williams Fresh Cafe,1,6,3.5,Cafes,Waterloo
_jcTmBq7W7p4HOl9nJ4SlA,Wild Grill,1,14,4,American (Traditional),LasVegas
_ji6oh2RwfOOt0jMznT5wg,Crepes Parisiennes,2,94,4,Anonymous,Pittsburgh
_JOTuEUnD1pU4IDIhiti5A,Taco Bell,1,7,3,Fast Food,Phoenix
_jpV3XLukEsSbXkff5_uzQ,Lobster Me,2,10,3.5,Seafood,LasVegas
_JPzBYy24mIK-Iq6xv460A,TK Cafe,1,10,4,Coffee & Tea,Charlotte
_jsJFrAmFVPRio0eEVExbA,McDonald's,1,6,2.5,Burgers,Pittsburgh
_K14v9GZVIoQJhrgPJm9MQ,Dairy Queen,1,5,3,Fast Food,LasVegas
_k2-7p9iwZOvtz59119WvA,Brenda's Kitchen,1,47,4.5,Breakfast & Brunch,Phoenix
_k2nOJvhfNKUFa2i-DnlQQ,Lone Star Steakhouse,2,12,3.5,Seafood,Pittsburgh
_K5cfCM7-zQZ1hXdbsc2fQ,Tom Yum Authentic Thai,2,167,4,Thai,Phoenix
_k-f7k30E6Y8bd9kGKAuvA,Burger King,1,7,2,Burgers,Phoenix
_KGe3v1OzRnUmKhb3VkDgg,Dobson's Restaurant,2,15,4,American (Traditional),Phoenix
_KhWxgstswdzKPfghqjoKw,Pizza Express,2,15,4,Italian,Edinburgh
_KTtGB2edcjK9JEm5pBMEg,Snax,1,3,3.5,Fast Food,Edinburgh
_ku5mlOIicSVVeXJWZnV4g,Sushi 426,2,5,4,Sushi Bars,Montreal
_KvGddVMM3d2f7NEa_eOtA,Primanti Bros.,1,219,3,American (New),Pittsburgh
_kXCU1R5-PLXRFW66la5rA,Dairy Queen,2,4,3,Fast Food,Phoenix
_L6sbh9zs7f4s1EM_niQcA,Casey's General Store,0,4,5,Pizza,Madison
_L9E4eZWX0vdePNjU1xtuQ,Toyama,2,91,4,Sushi Bars,Phoenix
_Ld11xPo9puP3jBCNVkw2w,Social Tap,2,59,4.5,American (New),Phoenix
_leflhF7uTuhDeGqXY6Kuw,Five Guys,2,32,3.5,Burgers,Phoenix
_-lfVoZxIc-ZJPeEwr1YqQ,Teuchters Landing,2,46,4.5,Anonymous,Edinburgh
_lhblpeTBbfG3TnWLLEGBw,Fünf Sterne,2,43,3.5,Chinese,Karlsruhe
_LjNO1X-jFr_HWSfnkTP_Q,Don Vito's Italian,2,117,3.5,Italian,LasVegas
_lqPP1XZcI32DtI6pzWywA,Bistro a la Mode,2,28,4.5,Cafes,Phoenix
_LROw6bEGWdOxM6qMlHiUA,El Entronke Mexican Food,2,11,3.5,Mexican,Phoenix
_LsGlbpybDbENusCXuEpyQ,JJ's Boulangerie,2,159,3,Breakfast & Brunch,LasVegas
_LuFh4iAKoN5YrR3VEkMPw,Carl's Jr.,1,10,1.5,Fast Food,Phoenix
_LYz2vdGyXsV-8b-_T47ag,Le's Sandwiches & Cafe,1,260,4.5,Vietnamese,Charlotte
_m1jiGnFykgtWB07JkOttA,LaBella's Pizzeria,2,38,3.5,Pizza,LasVegas
_MHdQ-eZ3baeGlX0uj2Nyg,Sushi Hiro,2,92,5,Sushi Bars,LasVegas
_MkEsZayoYMMOXE_qCJYgA,Raising Cane's,1,129,4,American (Traditional),LasVegas
_Mkp-ZD_TSmLAjR-BmBg7g,La Capital Tacos,2,55,4,Mexican,Montreal
_mrGYF6uScU24LcwshEqCA,Kabob Grill,2,124,3.5,Mediterranean,Charlotte
_mt0EQgGCG-qrLy51RnQag,Garcia's Mexican Restaurant,2,88,3,Mexican,Phoenix
_N3MvTGuRApX1nddo2INrQ,Pastamore,1,5,4,Italian,Montreal
_N4Z8G4uo3y7IMSoNsXmaA,L'Oeufrier,2,3,4,Breakfast & Brunch,Montreal
_n6ADy2M8XCJerlXTWbvQw,Buffet Fu Lam,2,12,2.5,Chinese,Montreal
_N6llQ4cPuNcMmKyagRRiA,Steel Cactus,2,6,3.5,Mexican,Pittsburgh
_naNO-mZQjTav4iLf5TFmA,Chicken King,1,5,4,Burgers,Charlotte
_NdSC-4rLBUGLVR2aas8zQ,Waddells Longhorn Corral,2,39,2.5,Breakfast & Brunch,Phoenix
_Ne4sL68IW6lEXYvrnkt-w,The Handlebar Tempe,2,242,3.5,American (Traditional),Phoenix
_NImxt4kON4hdFDVXC_ydQ,Spoons Chi-Town Cafe,2,6,4,Seafood,Phoenix
_nJ1w00q6dWlub82Qt0BcA,KFC,2,10,1.5,Fast Food,LasVegas
_n-Rb4H20FA1WLPfZimRiw,Taj Mahal,0,3,3.5,Indian,Montreal
_NW61hsQvk7u2E_xWiWyMQ,Main Depot Tavern,1,11,4,American (Traditional),Madison
_Nx8hwTmjR_x62Byjav0Ew,La Olmeca Restaurant,1,10,2.5,Mexican,Phoenix
_Nxn5EnIvuz48O1x-nsRfw,Sushi Neko,2,211,4,Sushi Bars,LasVegas
_nypuc5Ke462rFWKoZ_bDw,El Nuevo Taquito,1,10,4.5,Mexican,Phoenix
_O4NL-cs-Tx1Bb0TTjr5oA,Ty's Wings & Tings,2,17,4,Chicken Wings,Charlotte
_O9e1y02fxsywUvj7hFiGQ,Taco Bell,1,8,2.5,Fast Food,Charlotte
_objC5q_UrNvAaISXBZciQ,Sushi Newman,0,3,4.5,Sushi Bars,Montreal
_oBxfuBd2qDEWaYsdvP_dg,Gordon Biersch,2,168,3.5,American (New),Phoenix
_ODHYjCmrb3W9hIGJI1uaA,Loving Hut,1,186,4,Vegetarian,Phoenix
_OXr_eA576nwnU-dFsEfvA,The Mad Batter Café & Bakery,1,162,4,Breakfast & Brunch,LasVegas
_oylByc6iTONI5lokMfYHQ,Armando's Mexican Food,1,7,3.5,Mexican,Phoenix
_OYlq2UoKPQO_ElqhC3a8w,Lucky Strike,2,187,3.5,American (New),Phoenix
_P4bNzVHkm-rQHMxAioZwA,Poutineville,2,81,4,Anonymous,Montreal
_PFMtwWXDmdCmgfGWq2b9A,OPA Life Greek Cafe,2,105,4,Greek,Phoenix
_PINIylE-HAtznOkeQ6OOw,Enso Asian Bistro & Sushi Bar,2,271,3,Sushi Bars,Charlotte
_pmjqKf9iZ6zLPCiLoClYg,The Java Garden,1,4,5,Cafes,Waterloo
_PSo13KRX_X7FQR5mtUCug,Hibachi Grill & Supreme Buffet,1,41,3.5,Chinese,Phoenix
_PuhheIPgmDCBJe1nhpKTg,Tuscany Gardens,2,76,4,Breakfast & Brunch,LasVegas
_PVEERIWg0xyrGXgL8iz_A,Golden Phoenix Chinese Cuisine,1,70,3,Chinese,LasVegas
_pw-OnDpCe9XM0rDVvTUMg,McDonald's,1,16,3,Burgers,Phoenix
_Q4VSHSr8ryAOfmsd9g6yA,SEA: The Thai Experience,2,280,3.5,Thai,LasVegas
_q4ZzkHAVYEEg7ruKcN2vw,Restaurant Shish-Taouk,1,5,2.5,Middle Eastern,Montreal
_Q5Q5mBgMaG1EyEsVIuv8A,McDonald's,1,7,2,Burgers,LasVegas
_qEeF5FDUe3y3uU9NK_kCg,Port of Subs,1,9,3.5,Anonymous,LasVegas
_ql42UadWUh9SgU09_c2mQ,Pei Wei,1,84,3.5,Asian Fusion,Phoenix
_qr-o4j4a_9OMIWhmaZqVA,Taqueria La Casa Del Pastor,1,27,3.5,Mexican,LasVegas
_qTzOkbin2giDOrFsaxm8A,Al-Hana,1,74,4,Mediterranean,Phoenix
_qvxFHGbnbrAPeWBVifJEQ,Lenny's Sub Shop,1,27,3.5,American (New),Charlotte
_qvYa_VkaAZLi_k0Bjl_JA,Noodles & Company,1,20,3,Anonymous,Charlotte
_qZfxjo5_npoJNmycYG7aA,Restaurant Iris,1,6,4.5,Anonymous,Montreal
_r5wdqj0GYI_IttoPpCDbw,Bites,0,6,4.5,Coffee & Tea,Edinburgh
_RBUU1y4yJrK0SPAd8z0-w,Indian Delhi Palace,2,210,3.5,Indian,Phoenix
_rGLtqmX-IAHTM3JUgXmWg,Salad and Go,1,53,4.5,Fast Food,Phoenix
_rrWTz0W1K_eWafh-8r3fA,Black Dog Smoke & Ale House,2,662,4.5,Barbeque,Urbana-Champaign
_rv6-4ryEg5V18cs6DNUug,Jack In the Box,1,14,2.5,Fast Food,LasVegas
_rZmCez34Su-r9yEIkUwQQ,Little Caesars Pizza,1,19,2.5,Pizza,LasVegas
_SbBztPWznTFKG8l-fMJEQ,Golden City Chinese Restruant,1,4,4,Chinese,Phoenix
_SdixbXjvpCIMln7_sgDfg,Manhattan Pizza II,2,34,3.5,Pizza,LasVegas
_sE20NftkRwtw1VUXM-QJA,L'Orignal,3,131,4,Canadian (New),Montreal
_sppJb0durssEnD1fs94mw,McDonald's,1,11,2.5,Burgers,Phoenix
_SWb6l-M_ohosfSmet3e1w,Buffalo Wild Wings,2,145,2.5,American (Traditional),Phoenix
_sYVQM-EIWrwgyi-xKVDVg,KFC,0,4,3,Fast Food,Charlotte
_tBkysAUsKNoki7Gmvi1ug,The Huxley,2,37,4,Anonymous,Edinburgh
_TgKU9RQ10RfdZz8CSGEGQ,Böckeler,0,3,3.5,Anonymous,Karlsruhe
_TgZG9bwEsJNcFmrMYIl5A,Rosati's Pizza,2,45,3.5,Pizza,Phoenix
_TiNxnxoXMep9pU5wClv6A,Piazza Pazza (La),0,4,4.5,Pizza,Montreal
_tkAI5Q5XQSfgbqJzDKSDQ,Old Town Tortilla Factory,2,324,3,Mexican,Phoenix
_TMU3CFI_JivbU0ucjC5CQ,Ryu,3,8,3.5,Sushi Bars,Montreal
_tS0YfyPDxOXxrN4Kl2_HQ,Trevi Italian Restaurant,2,609,3.5,Pizza,LasVegas
_tULIKll0EQsIAnPnxaoLg,Hungry Howie's Pizza,1,41,2.5,Pizza,Phoenix
_tWPlLKRenyHPvkxqZ2UQQ,Ciao Grazie,2,84,4,Italian,Phoenix
_TWT58PWunYIyPgpz1fuog,Arena Sports Grill,1,77,3.5,American (Traditional),Phoenix
_TZn9b5qkvC7RWeWKf01bw,Radish,2,53,4.5,Anonymous,Phoenix
_U2rYiyKaroF64PYVCWpEg,Jack Astor's Bar & Grill,2,15,3.5,Burgers,Montreal
_UdfuV4VH5PopAuCJPflYw,Peace Ethiopian Market & Cafe,1,7,4.5,Breakfast & Brunch,LasVegas
_UeDYGanV1pMDrhFb2gMVA,Fuego Steakhouse,3,62,4,Steakhouses,LasVegas
_-Ufb4yxXeR9kTxHmODB3g,Chick-fil-A,1,3,2,Fast Food,Pittsburgh
_ufhmY-588fNlV5ers3UQQ,Samurai Sam's,1,19,3.5,Japanese,Phoenix
_uh8g9rh4MtVEOnCEbqwnA,Bentoya,2,25,4,Sushi Bars,Edinburgh
_ULYg16ncUuhWUsACetojw,Truc Vietnamese Cuisine,2,30,4,Vietnamese,Charlotte
_uORj7gXai7YEpC9fY4xDw,Pizza Forte,2,30,3.5,Pizza,LasVegas
_UrbZpgCq638dWrS0Vly2A,Smashburger,1,106,3.5,Burgers,Phoenix
_UsqOvmgoNzb_0xWpzwZBg,Chicago Brewing Company,2,353,3.5,American (New),LasVegas
_uUlWKhPmjFUUxOSS-EP_w,Jack In The Box,1,12,2,Fast Food,Phoenix
_UYJfg5GbahLiEDU1HuQhQ,Qdoba Mexican Grill,1,19,3.5,Fast Food,Charlotte
_v0l_NYqRLE12GJMflm4Zg,Phó,1,17,4,Vietnamese,Karlsruhe
_v51zHEOkXseN6mtNCddbQ,China Garden,1,47,3.5,Chinese,LasVegas
_viHcOY9w_CitP4oHpZYdg,Nori Sushi,2,236,4,Sushi Bars,Phoenix
_VN5hYv1VgNIBgwxTQZ_1Q,Mr. Lucky's 24-7,2,691,3.5,American (Traditional),LasVegas
_-VPCIdtP19HQI7CcsfVTA,Greek Islands Grill,1,119,4.5,Greek,Phoenix
_VpP18kVhdR9petT8w-cuA,Domino's Pizza,2,15,2.5,Pizza,Charlotte
_vuqFcv8et3oK52SF2rcFg,Graziella,4,17,3.5,Italian,Montreal
_vXXcs_ej_u3sS-YY1CKMg,Carefree Bistro,2,45,4,Mediterranean,Phoenix
_w2wIsBh-1M1ZCed2KjLlw,Red Devil Italian Restaurant & Pizzeria,2,75,3.5,Pizza,Phoenix
_W5QrZQPfqjj6njeqrGYEA,Texas Roadhouse,2,82,3.5,American (Traditional),Charlotte
_wA2aYYo1zyQr4VF2OibSQ,Jersey Mike's Subs,1,14,3.5,Fast Food,LasVegas
_WaHLgLzALd2iThQAhC-sQ,Shiloh Grill,2,200,4,American (Traditional),Pittsburgh
_WbZri6b9Wq4iofDm7CI9Q,Bassett Street Brunch Club,2,302,4,Breakfast & Brunch,Madison
_WHc6Iwi40s2gcvkotEoOQ,Submarinos Pizzeria,1,40,4,Italian,Phoenix
_wIuXuDCBD8n-74ddw-dIQ,Deli La Trattoria,1,5,5,Canadian (New),Montreal
_WLYW4vzknVRGiVJBUy8oQ,Anntony's Caribbean Cafe,1,71,4,Barbeque,Charlotte
_WP0nIqmrSFLcY8nV8KUSA,Tapas Papa Frita,2,357,3.5,Anonymous,Phoenix
_wrA7CMbMqcWEDCNghi5cg,Mimis Cafe,2,110,2.5,Breakfast & Brunch,Phoenix
