Business_id,Name,City,Price Range,Review Count,Stars,Cuisine
_agqgl4kkXu_5xKCKP8gcA,Buffalo Wild Wings,North Las Vegas,2,126,2.5,American (Traditional)
_aGVicux2dJm9sqzLSCJtg,Subway,Pittsburgh,1,3,3.5,Fast Food
_Aq9R8FRoXq8HwC5qf80Xg,Koi Restaurant,Las Vegas,3,489,3.5,Japanese
_aqNCt2RzYu8Qkj0z6A9cw,Palm Pizza,Las Vegas,1,24,2.5,Pizza
_aRnypLaHgZ7E9wZqHilOg,Gyro Time,Las Vegas,1,59,3.5,Greek
_AvHni-xdRHmZ3XfYHwGkg,Posh Improvisational Cuisine,Scottsdale,4,334,4,American (New)
_AzE9doN9QL3Ffwfe9FGKA,Annie's Kitchen,Las Vegas,1,8,4.5,Barbeque
_B_ksb_rYxfnHE0kbuezSQ,Charley's Grilled Subs,Mesa,1,3,3.5,Anonymous
_B5RZxl6S3nLVV3j0UoQew,La Verita,Dollard-des-Ormeaux,3,18,5,Italian
_B70VqLL-VLj3BUbBMLmFA,Subway,Tempe,0,4,2.5,Fast Food
_bDQqgRS6POAGi9-yHKDgw,Garde Manger,montreal,4,226,4,Seafood
_Bh7HA8P570v2DIsltppZQ,Penn Station East Coast Subs,Charlotte,1,21,3.5,Anonymous
_BL-KfyZqYruqDvxTY-vUg,Surang's Thai Kitchen,Las Vegas,2,188,4,Thai
_b-Q0ZVI30FfgPW_UtbLyw,North and South Seafood & Smokehouse,Madison,2,40,4,Seafood
_BQ5JOUWDRgBXNylMSVpOw,Louis'grille,Harrisburg,1,23,3.5,Anonymous
_BrLcaVzE6GqBilwmdQOfg,Elixir - A Local Lounge,Henderson,2,100,4,American (New)
_BU867oRCLZnDIRmg7S6Wg,Chili's Grill & Bar,Phoenix,2,77,3,Tex-Mex
_Bz6YWNI5bi0gqQI4GLvqQ,Jason's Deli,Pineville,1,50,4,Anonymous
_c6EWrGrbqjDOk99aX3yLQ,Jack In the Box,Las Vegas,1,7,3.5,Fast Food
_c7vrEqEGfWKkhXMNZNGXA,Aizle,Edinburgh,4,17,5,Anonymous
_c98YKUKcD43F7oAPefM8A,Restaurant Kam DO,Saint-Laurent,1,17,3,Chinese
_CBTn2OXDZFLmDfmZFvnHg,Qdoba Mexican Eats,Charlotte,0,6,3.5,Mexican
_CcRXoqxDXxhgmvUFCbiQQ,Café Bedondaine,montreal,1,4,4,Cafes
_CEgkUvPLL-omIutKaWs5Q,Chiang Mai,Karlsruhe,2,18,3.5,Thai
_CG5zJAoNN6gszjhSyUcww,Chodang,Chandler,2,264,4,Korean
_CIodPGuvPP2khYkDk1jKw,Taqueria Los Yaquis,Phoenix,1,159,4.5,Fast Food
_Ck4AAtkBLsDL9Qcbo9h1Q,Port Of Subs,Las Vegas,1,20,4,Anonymous
_cNzmoWpJfIHlsmlMGJuLw,Einstein Bros Bagels,Las Vegas,1,54,2.5,Anonymous
_CSt3oYGYC3uVaifWK0IIg,Zaxby's,Charlotte,1,3,2.5,Fast Food
_cxnSeFM0G5AdvCpJjTb0g,Pizza Express,Edinburgh,2,10,3.5,Italian
_cY8xEvsQz0flCYWOzxD7A,Seoul Chako,montreal,2,95,3,Korean
_CzopXSIYIp7_oeYNYVwWQ,Papa Sam's Chicago Style Pizzeria,Glendale,1,48,3.5,Italian
_D3KUba-5fHTbucTBAnigw,Wendy's,Gilbert,1,14,2.5,Burgers
_dgnqH3rz1L_qOGMeihIyA,Le Bourlingueur,montreal,2,80,3.5,French
_DjAApQ5qhhHP5H_gzX57A,Ocarnivores,Peoria,0,4,1,Mexican
_dOcOVjrFcIKbMWX1VTdBA,Fiesta Cafe,Champaign,2,44,4,Mexican
_dVPzYGXKNg2rIsc40VtyA,Jack-In-the Box,Scottsdale,1,14,3,Fast Food
_DyUWCkg-rPnJMKtBWdi-w,Pizza Expreso,Verdun,1,5,2.5,Pizza
_DZfwU9dE9Q5I1-1jiM1vQ,Little Chicago Pizza,Scottsdale,2,99,4,Pizza
_-EB8tQzBlM_jLkgtRw4Rg,Jack Astor's Bar & Grill,Kitchener,2,7,3,Burgers
_EBvw_mU3CowvAeBWI96sA,Niko's Coffee,Pittsburgh,0,3,4.5,Cafes
_Ec1KaH6DpX-1NNE8fA55Q,Pho Rancho Asian Cuisine,Las Vegas,1,209,3.5,Vietnamese
_eCrBSIXbGEW62ynS2_0lA,KFC,Phoenix,1,22,2,Fast Food
_EdSQOkATuCtZ5y5A2m0rw,Arby's,Phoenix,1,7,2.5,American (New)
_EUbTaB4OUWoIcC6wc8_8g,Papa Murphy's,Mesa,1,13,4,Pizza
_eWCvyOCsuBXIQCOSVZy4Q,Casey's,montreal,2,7,2.5,Canadian (New)
_Ex3OUT0CBJxmn7M_ihzjg,Mafia Mike's Pizza,Mesa,0,4,2,Pizza
_eymim7Di9WjVOxT4OSnjg,Pizza Studio,Phoenix,1,119,4,Pizza
_F2DNPjsqgkAd50zuX8dYQ,Harold's Corral,Cave Creek,2,246,3.5,American (Traditional)
_FAKUOcKi8PoztprX95oGw,A Plus VIP Lounge,Urbana,2,13,3.5,Cafes
_fcEpudbiTB4o9wLJ-egTA,Grand Café,Henderson,2,105,3,American (New)
_fcrxqrOkoC7R-p0pbPDrg,Qdoba,Urbana,1,7,4,Mexican
_fEbyHiAsCMAwd7FzNljWg,Taco Bell,Queen Creek,1,15,3.5,Fast Food
_Fi4b5lYGsKhI4iCw7j_BQ,Rote Sonne China Schnellrestaurant,Karlsruhe,1,3,4,Chinese
_FlIJoFcEvYaMfZAs3LbFA,Big Shot Bob's House of Wings,Carnegie,1,11,4,Chicken Wings
_fMcFF-O4tUpVC6C23uyUQ,McDonald's,Scottsdale,0,4,4,Burgers
_FXql6eVhbM923RdCi94SA,Hula's Modern Tiki,Phoenix,2,887,4,Seafood
_gb5Hxm5S5U86ejVywETMA,Chez Boris,montreal,1,95,4,Coffee & Tea
_GbMuSSfeZFeN08w2ONJ1g,Quik-It Chicken,Pittsburgh,1,13,4,Barbeque
_GnpdDmPqtrXkUHZ8YtvwA,Ada's Fish Fry,Goodyear,2,139,4.5,Seafood
_gPmBXNTJqI5tGhe7G_BKg,Carl's Jr Restaurants,Las Vegas,1,12,3,Fast Food
_GWuXjPNBnO56OaT_daPZQ,Zeffirino,Las Vegas,3,327,3.5,Seafood
_GWZRML1R9iHNSSo4i2MPA,Loreto's Mexican Food,Tempe,1,14,4,Mexican
_gXohynLlr_L-lCfonNjOg,Grand Trunk Saloon,Kitchener,2,5,4,Anonymous
_gXpjRIjb5fv5f5IVGXvsw,Del Taco,Phoenix,1,27,3.5,Fast Food
_GZArxAclA3vjhXWIMmvCA,Feast Buffet,Las Vegas,2,70,3.5,Anonymous
_gzo4jScQtavLCHzJo905Q,Midnight Diner,Charlotte,1,391,3.5,Breakfast & Brunch
_HGheM2jzKEZFqkT4kyViQ,Cartel Coffee Lab,Phoenix,1,244,4,Coffee & Tea
_HTE4pOKeJC7kcxiCF9vTA,Noodles Ranch,Scottsdale,2,345,4,Vietnamese
_hTnLGWujfiZhIaCwWH8Ng,Bamboo Cafe,Glendale,2,69,3.5,Chinese
_hu-d-tbmtqd8xF37LynpA,The Brig,Cramond Bridge,2,3,3.5,British
_Hwdp9pNtJ14MsBujtIa5A,The Bailie,Edinburgh,2,14,4.5,Anonymous
_h-wWBfKI_cRnnOB5Bkgag,Sub Station II,Charlotte,1,30,3,Anonymous
_i1CmdenYAwLKyBpX3oVHg,Subway,North Las Vegas,1,12,1.5,Fast Food
_iA0u6ZKehTUvPY7Xp4Jbw,Wings Restaurants,Las Vegas,1,80,3.5,Chicken Wings
_ibKsVEx2LMobFd52D0NZg,Verona Pizza,Las Vegas,1,50,3.5,Italian
_IDjM6FxLd3sudSm8YBA5A,Subway,Las Vegas,1,8,3.5,Fast Food
_I-hcsM-TFQkBgSjpk7JLQ,The View Cafe,Las Vegas,1,6,4,Cafes
_iMlWyow-HdId-sFburl8w,Cafe Americano,Las Vegas,2,95,3.5,American (New)
_INaOLXnLK4cvX32CowuKw,Basil & Garlic Bistro,Scottsdale,2,174,4.5,Italian
_io-CVnCgHyt0vpTCrP13A,Brother's Pizza,Phoenix,1,63,4,Italian
_IPUEiZFc8vzsXp-BSlpIA,Café Renroc,Edinburgh,2,13,4,Breakfast & Brunch
_j4jCjlnuUnsvq1UnfF1Ag,Pei Wei,Henderson,1,91,3.5,Asian Fusion
_J9JwsqYf1hKdtsE7A9OnA,Kofflers Wiener Beisel,Karlsruhe,2,4,4,Fast Food
_jbeTDw6XSuvLaR1V_z8jw,Copper Plate An American Grill,Mesa,2,20,3,American (New)
_JCjTIKSZxSO5PuHE0rXBg,Williams Fresh Cafe,Kitchener,1,6,3.5,Cafes
_jcTmBq7W7p4HOl9nJ4SlA,Wild Grill,Henderson,1,14,4,American (Traditional)
_ji6oh2RwfOOt0jMznT5wg,Crepes Parisiennes,Pittsburgh,2,94,4,Anonymous
_JOTuEUnD1pU4IDIhiti5A,Taco Bell,Tempe,1,7,3,Fast Food
_jpV3XLukEsSbXkff5_uzQ,Lobster Me,Las Vegas,2,10,3.5,Seafood
_JPzBYy24mIK-Iq6xv460A,TK Cafe,Charlotte,1,10,4,Coffee & Tea
_jsJFrAmFVPRio0eEVExbA,McDonald's,Pittsburgh,1,6,2.5,Burgers
_K14v9GZVIoQJhrgPJm9MQ,Dairy Queen,Las Vegas,1,5,3,Fast Food
_k2-7p9iwZOvtz59119WvA,Brenda's Kitchen,Youngtown,1,47,4.5,Breakfast & Brunch
_k2nOJvhfNKUFa2i-DnlQQ,Lone Star Steakhouse,West Mifflin,2,12,3.5,Seafood
_K5cfCM7-zQZ1hXdbsc2fQ,Tom Yum Authentic Thai,Surprise,2,167,4,Thai
_k-f7k30E6Y8bd9kGKAuvA,Burger King,Mesa,1,7,2,Burgers
_KGe3v1OzRnUmKhb3VkDgg,Dobson's Restaurant,Mesa,2,15,4,American (Traditional)
_KhWxgstswdzKPfghqjoKw,Pizza Express,Edinburgh,2,15,4,Italian
_KTtGB2edcjK9JEm5pBMEg,Snax,Edinburgh,1,3,3.5,Fast Food
_ku5mlOIicSVVeXJWZnV4g,Sushi 426,montreal,2,5,4,Sushi Bars
_KvGddVMM3d2f7NEa_eOtA,Primanti Bros.,Pittsburgh,1,219,3,American (New)
_kXCU1R5-PLXRFW66la5rA,Dairy Queen,Casa Grande,2,4,3,Fast Food
_L6sbh9zs7f4s1EM_niQcA,Casey's General Store,De Forest,0,4,5,Pizza
_L9E4eZWX0vdePNjU1xtuQ,Toyama,Scottsdale,2,91,4,Sushi Bars
_Ld11xPo9puP3jBCNVkw2w,Social Tap,Scottsdale,2,59,4.5,American (New)
_leflhF7uTuhDeGqXY6Kuw,Five Guys,Chandler,2,32,3.5,Burgers
_-lfVoZxIc-ZJPeEwr1YqQ,Teuchters Landing,Edinburgh,2,46,4.5,Anonymous
_lhblpeTBbfG3TnWLLEGBw,Fünf Sterne,Karlsruhe,2,43,3.5,Chinese
_LjNO1X-jFr_HWSfnkTP_Q,Don Vito's Italian,Las Vegas,2,117,3.5,Italian
_lqPP1XZcI32DtI6pzWywA,Bistro a la Mode,Mesa,2,28,4.5,Cafes
_LROw6bEGWdOxM6qMlHiUA,El Entronke Mexican Food,Phoenix,2,11,3.5,Mexican
_LsGlbpybDbENusCXuEpyQ,JJ's Boulangerie,Las Vegas,2,159,3,Breakfast & Brunch
_LuFh4iAKoN5YrR3VEkMPw,Carl's Jr.,Mesa,1,10,1.5,Fast Food
_LYz2vdGyXsV-8b-_T47ag,Le's Sandwiches & Cafe,Charlotte,1,260,4.5,Vietnamese
_m1jiGnFykgtWB07JkOttA,LaBella's Pizzeria,Las Vegas,2,38,3.5,Pizza
_MHdQ-eZ3baeGlX0uj2Nyg,Sushi Hiro,Las Vegas,2,92,5,Sushi Bars
_MkEsZayoYMMOXE_qCJYgA,Raising Cane's,Las Vegas,1,129,4,American (Traditional)
_Mkp-ZD_TSmLAjR-BmBg7g,La Capital Tacos,montreal,2,55,4,Mexican
_mrGYF6uScU24LcwshEqCA,Kabob Grill,Charlotte,2,124,3.5,Mediterranean
_mt0EQgGCG-qrLy51RnQag,Garcia's Mexican Restaurant,Mesa,2,88,3,Mexican
_N3MvTGuRApX1nddo2INrQ,Pastamore,Dollard-des-Ormeaux,1,5,4,Italian
_N4Z8G4uo3y7IMSoNsXmaA,L'Oeufrier,montreal,2,3,4,Breakfast & Brunch
_n6ADy2M8XCJerlXTWbvQw,Buffet Fu Lam,montreal,2,12,2.5,Chinese
_N6llQ4cPuNcMmKyagRRiA,Steel Cactus,Pittsburgh,2,6,3.5,Mexican
_naNO-mZQjTav4iLf5TFmA,Chicken King,Charlotte,1,5,4,Burgers
_NdSC-4rLBUGLVR2aas8zQ,Waddells Longhorn Corral,Buckeye,2,39,2.5,Breakfast & Brunch
_Ne4sL68IW6lEXYvrnkt-w,The Handlebar Tempe,Tempe,2,242,3.5,American (Traditional)
_NImxt4kON4hdFDVXC_ydQ,Spoons Chi-Town Cafe,Maricopa,2,6,4,Seafood
_nJ1w00q6dWlub82Qt0BcA,KFC,North Las Vegas,2,10,1.5,Fast Food
_n-Rb4H20FA1WLPfZimRiw,Taj Mahal,montreal,0,3,3.5,Indian
_NW61hsQvk7u2E_xWiWyMQ,Main Depot Tavern,Madison,1,11,4,American (Traditional)
_Nx8hwTmjR_x62Byjav0Ew,La Olmeca Restaurant,Phoenix,1,10,2.5,Mexican
_Nxn5EnIvuz48O1x-nsRfw,Sushi Neko,Las Vegas,2,211,4,Sushi Bars
_nypuc5Ke462rFWKoZ_bDw,El Nuevo Taquito,Phoenix,1,10,4.5,Mexican
_O4NL-cs-Tx1Bb0TTjr5oA,Ty's Wings & Tings,Charlotte,2,17,4,Chicken Wings
_O9e1y02fxsywUvj7hFiGQ,Taco Bell,Charlotte,1,8,2.5,Fast Food
_objC5q_UrNvAaISXBZciQ,Sushi Newman,Lasalle,0,3,4.5,Sushi Bars
_oBxfuBd2qDEWaYsdvP_dg,Gordon Biersch,Glendale,2,168,3.5,American (New)
_ODHYjCmrb3W9hIGJI1uaA,Loving Hut,Phoenix,1,186,4,Vegetarian
_OXr_eA576nwnU-dFsEfvA,The Mad Batter Café & Bakery,Henderson,1,162,4,Breakfast & Brunch
_oylByc6iTONI5lokMfYHQ,Armando's Mexican Food,Phoenix,1,7,3.5,Mexican
_OYlq2UoKPQO_ElqhC3a8w,Lucky Strike,Phoenix,2,187,3.5,American (New)
_P4bNzVHkm-rQHMxAioZwA,Poutineville,montreal,2,81,4,Anonymous
_PFMtwWXDmdCmgfGWq2b9A,OPA Life Greek Cafe,Tempe,2,105,4,Greek
_PINIylE-HAtznOkeQ6OOw,Enso Asian Bistro & Sushi Bar,Charlotte,2,271,3,Sushi Bars
_pmjqKf9iZ6zLPCiLoClYg,The Java Garden,St. Jacobs,1,4,5,Cafes
_PSo13KRX_X7FQR5mtUCug,Hibachi Grill & Supreme Buffet,Phoenix,1,41,3.5,Chinese
_PuhheIPgmDCBJe1nhpKTg,Tuscany Gardens,Las Vegas,2,76,4,Breakfast & Brunch
_PVEERIWg0xyrGXgL8iz_A,Golden Phoenix Chinese Cuisine,North Las Vegas,1,70,3,Chinese
_pw-OnDpCe9XM0rDVvTUMg,McDonald's,Phoenix,1,16,3,Burgers
_Q4VSHSr8ryAOfmsd9g6yA,SEA: The Thai Experience,Las Vegas,2,280,3.5,Thai
_q4ZzkHAVYEEg7ruKcN2vw,Restaurant Shish-Taouk,montreal,1,5,2.5,Middle Eastern
_Q5Q5mBgMaG1EyEsVIuv8A,McDonald's,Las Vegas,1,7,2,Burgers
_qEeF5FDUe3y3uU9NK_kCg,Port of Subs,Las Vegas,1,9,3.5,Anonymous
_ql42UadWUh9SgU09_c2mQ,Pei Wei,Scottsdale,1,84,3.5,Asian Fusion
_qr-o4j4a_9OMIWhmaZqVA,Taqueria La Casa Del Pastor,Las Vegas,1,27,3.5,Mexican
_qTzOkbin2giDOrFsaxm8A,Al-Hana,Phoenix,1,74,4,Mediterranean
_qvxFHGbnbrAPeWBVifJEQ,Lenny's Sub Shop,Charlotte,1,27,3.5,American (New)
_qvYa_VkaAZLi_k0Bjl_JA,Noodles & Company,Charlotte,1,20,3,Anonymous
_qZfxjo5_npoJNmycYG7aA,Restaurant Iris,montreal,1,6,4.5,Anonymous
_r5wdqj0GYI_IttoPpCDbw,Bites,Edinburgh,0,6,4.5,Coffee & Tea
_RBUU1y4yJrK0SPAd8z0-w,Indian Delhi Palace,Phoenix,2,210,3.5,Indian
_RC5JhGbNJcgq4CpZQ0g-g,The Shore Club at Tega Cay,Fort Mill,1,6,4,Breakfast & Brunch
_rGLtqmX-IAHTM3JUgXmWg,Salad and Go,Mesa,1,53,4.5,Fast Food
_rrWTz0W1K_eWafh-8r3fA,Black Dog Smoke & Ale House,Urbana,2,662,4.5,Barbeque
_rv6-4ryEg5V18cs6DNUug,Jack In the Box,Henderson,1,14,2.5,Fast Food
_rZmCez34Su-r9yEIkUwQQ,Little Caesars Pizza,Henderson,1,19,2.5,Pizza
_SbBztPWznTFKG8l-fMJEQ,Golden City Chinese Restruant,Chandler,1,4,4,Chinese
_SdixbXjvpCIMln7_sgDfg,Manhattan Pizza II,Las Vegas,2,34,3.5,Pizza
_sE20NftkRwtw1VUXM-QJA,L'Orignal,montreal,3,131,4,Canadian (New)
_sppJb0durssEnD1fs94mw,McDonald's,Scottsdale,1,11,2.5,Burgers
_SWb6l-M_ohosfSmet3e1w,Buffalo Wild Wings,Goodyear,2,145,2.5,American (Traditional)
_sYVQM-EIWrwgyi-xKVDVg,KFC,Charlotte,0,4,3,Fast Food
_tBkysAUsKNoki7Gmvi1ug,The Huxley,Edinburgh,2,37,4,Anonymous
_TgKU9RQ10RfdZz8CSGEGQ,Böckeler,Karlsruhe,0,3,3.5,Anonymous
_TgZG9bwEsJNcFmrMYIl5A,Rosati's Pizza,Scottsdale,2,45,3.5,Pizza
_TiNxnxoXMep9pU5wClv6A,Piazza Pazza (La),Brossard,0,4,4.5,Pizza
_tkAI5Q5XQSfgbqJzDKSDQ,Old Town Tortilla Factory,Scottsdale,2,324,3,Mexican
_TMU3CFI_JivbU0ucjC5CQ,Ryu,montreal,3,8,3.5,Sushi Bars
_tS0YfyPDxOXxrN4Kl2_HQ,Trevi Italian Restaurant,Las Vegas,2,609,3.5,Pizza
_tULIKll0EQsIAnPnxaoLg,Hungry Howie's Pizza,Gilbert,1,41,2.5,Pizza
_tWPlLKRenyHPvkxqZ2UQQ,Ciao Grazie,Scottsdale,2,84,4,Italian
_TWT58PWunYIyPgpz1fuog,Arena Sports Grill,Scottsdale,1,77,3.5,American (Traditional)
_TZn9b5qkvC7RWeWKf01bw,Radish,Phoenix,2,53,4.5,Anonymous
_U2rYiyKaroF64PYVCWpEg,Jack Astor's Bar & Grill,Greenfield Park,2,15,3.5,Burgers
_UdfuV4VH5PopAuCJPflYw,Peace Ethiopian Market & Cafe,Las Vegas,1,7,4.5,Breakfast & Brunch
_UeDYGanV1pMDrhFb2gMVA,Fuego Steakhouse,Henderson,3,62,4,Steakhouses
_-Ufb4yxXeR9kTxHmODB3g,Chick-fil-A,Pittsburgh,1,3,2,Fast Food
_ufhmY-588fNlV5ers3UQQ,Samurai Sam's,Surprise,1,19,3.5,Japanese
_uh8g9rh4MtVEOnCEbqwnA,Bentoya,Edinburgh,2,25,4,Sushi Bars
_ULYg16ncUuhWUsACetojw,Truc Vietnamese Cuisine,Charlotte,2,30,4,Vietnamese
_uORj7gXai7YEpC9fY4xDw,Pizza Forte,Las Vegas,2,30,3.5,Pizza
_UrbZpgCq638dWrS0Vly2A,Smashburger,Scottsdale,1,106,3.5,Burgers
_UsqOvmgoNzb_0xWpzwZBg,Chicago Brewing Company,Las Vegas,2,353,3.5,American (New)
_uUlWKhPmjFUUxOSS-EP_w,Jack In The Box,Scottsdale,1,12,2,Fast Food
_UYJfg5GbahLiEDU1HuQhQ,Qdoba Mexican Grill,Charlotte,1,19,3.5,Fast Food
_v0l_NYqRLE12GJMflm4Zg,Phó,Karlsruhe,1,17,4,Vietnamese
_v51zHEOkXseN6mtNCddbQ,China Garden,Henderson,1,47,3.5,Chinese
_viHcOY9w_CitP4oHpZYdg,Nori Sushi,Phoenix,2,236,4,Sushi Bars
_VN5hYv1VgNIBgwxTQZ_1Q,Mr. Lucky's 24-7,Las Vegas,2,691,3.5,American (Traditional)
_-VPCIdtP19HQI7CcsfVTA,Greek Islands Grill,San Tan Valley,1,119,4.5,Greek
_VpP18kVhdR9petT8w-cuA,Domino's Pizza,Charlotte,2,15,2.5,Pizza
_vuqFcv8et3oK52SF2rcFg,Graziella,montreal,4,17,3.5,Italian
_vXXcs_ej_u3sS-YY1CKMg,Carefree Bistro,Carefree,2,45,4,Mediterranean
_w2wIsBh-1M1ZCed2KjLlw,Red Devil Italian Restaurant & Pizzeria,Tempe,2,75,3.5,Pizza
_W5QrZQPfqjj6njeqrGYEA,Texas Roadhouse,Matthews,2,82,3.5,American (Traditional)
_wA2aYYo1zyQr4VF2OibSQ,Jersey Mike's Subs,Henderson,1,14,3.5,Fast Food
_WaHLgLzALd2iThQAhC-sQ,Shiloh Grill,Pittsburgh,2,200,4,American (Traditional)
_WbZri6b9Wq4iofDm7CI9Q,Bassett Street Brunch Club,Madison,2,302,4,Breakfast & Brunch
_WHc6Iwi40s2gcvkotEoOQ,Submarinos Pizzeria,Glendale,1,40,4,Italian
_wIuXuDCBD8n-74ddw-dIQ,Deli La Trattoria,Kirkland,1,5,5,Canadian (New)
_WLYW4vzknVRGiVJBUy8oQ,Anntony's Caribbean Cafe,Charlotte,1,71,4,Barbeque
